Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Pourouma villosa,species,Angiosperm,tree,broadleaved,15692.32,73,21.727,30,112.551,72,20.34,36,,,0.34,34,,,,0.34,5
Pouteria adolfi-friedericii,species,Angiosperm,tree,broadleaved,,,,,,,50,,,,0.44,2,,,,0.45,2
Pouteria alnifolia,species,Angiosperm,tree,broadleaved,11615.58,9,23.729,9,64.754,9,,,349.66,5,0.543,,,,,0.543,5
Pouteria altissima,species,Angiosperm,tree,broadleaved,,,,,48.52,,,,,,0.437,8,,,,0.437,2
Pouteria ambelaniifolia,species,Angiosperm,tree,broadleaved,7930.66,7,12.377,6,149.652,6,22.951,6,,,0.69,8,,,,0.69,5
Pouteria anomala,species,Angiosperm,tree,broadleaved,3000,1,24.845,4,,,,,,,0.681,14,,,,0.681,3
Pouteria baehniana,species,Angiosperm,tree,broadleaved,19977.11,5,26.035,2,86.001,2,25,1,,,,,,,,,4
Pouteria bangii,species,Angiosperm,tree,broadleaved,7730.93,19,15.108,10,129.54,16,30,14,,,0.63,13,,,,0.63,5
Pouteria beaurepairei,species,Angiosperm,tree,broadleaved,,,,,111.982,1,,,,,,,,,,,1
Pouteria benai,species,Angiosperm,tree,broadleaved,2153.33,2,12.524,2,76.316,2,25,2,,,0.88,4,,,,0.88,5
Pouteria bilocularis,species,Angiosperm,tree,broadleaved,2710.27,17,18.468,14,104.562,14,35,11,,,0.71,15,,,,0.71,5
Pouteria buenaventurensis,species,Angiosperm,tree,broadleaved,,,,,,,,,889.874,1,0.56,2,,,,0.56,2
Pouteria caimito,species,Angiosperm,tree,broadleaved,6372.11,6,19.834,12,91.041,12,23.59,11,,,0.786,31,,,,0.786,5
Pouteria campanulata,species,Angiosperm,tree,broadleaved,55000,1,16.346,2,,,,,,,,,,,,,2
Pouteria campechiana,species,Angiosperm,tree,broadleaved,11028.92,8,25.9,1,73.099,2,8.956,6,1350,6,0.775,4,,,,0.775,6
Pouteria chiricana,species,Angiosperm,tree,broadleaved,4984.36,50,,,83.148,25,,,,,,,,,,,2
Pouteria chocoensis,species,Angiosperm,tree,broadleaved,,,,,,,,,847.151,1,,,,,,,1
Pouteria cladantha,species,Angiosperm,tree,broadleaved,6556.9,7,38.21,9,75.358,9,25,9,503.873,15,0.821,15,,,,0.821,6
Pouteria coriacea,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.89,2,,,,0.89,2
Pouteria cuspidata,species,Angiosperm,tree,broadleaved,4894.36,31,15.039,39,107.273,49,31.568,34,340,6,0.745,36,,,,0.745,6
Pouteria decorticans,species,Angiosperm,tree,broadleaved,6830.82,31,21.18,27,80.645,33,18.469,24,,,0.82,17,,,,0.82,5
Pouteria durlandii,species,Angiosperm,tree,broadleaved,5259.24,27,19.326,18,106.103,26,17.784,10,1800,6,0.635,12,,,,0.635,6
Pouteria egregia,species,Angiosperm,tree,broadleaved,2160.58,19,17.581,12,122.93,16,32.691,12,,,0.885,24,,,,0.885,5
Pouteria elegans,species,Angiosperm,tree,broadleaved,6250,1,18.616,12,148.683,12,,,1339,6,0.64,14,,,,0.64,5
Pouteria engleri,species,Angiosperm,tree,broadleaved,3769.02,29,25.079,14,94.406,28,16.804,14,,,0.768,16,,,,0.768,5
Pouteria ephedrantha,species,Angiosperm,tree,broadleaved,7286.03,3,15.76,3,122.399,3,40,4,16632.94,10,0.725,6,,,,0.725,6
Pouteria eugeniifolia,species,Angiosperm,tree,broadleaved,1255.34,17,14.773,16,123.546,16,28.258,16,,,1.1,20,,,,1.1,5
Pouteria filipes,species,Angiosperm,tree,broadleaved,6885.59,13,32.82,11,83.822,11,31.103,10,,,0.876,13,,,,0.876,5
Pouteria fimbriata,species,Angiosperm,tree,,6181.39,13,30.169,6,44.755,12,14.461,6,,,0.771,6,,,,0.771,5
Pouteria fossicola,species,Angiosperm,tree,broadleaved,13165.71,11,22.95,2,71.162,26,22.054,2,,,,,,,,,4
Pouteria foveolata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.775,2,,,,0.775,1
Pouteria gardneriana,species,Angiosperm,tree,broadleaved,10512.26,,29,,74.932,4,,,,,0.62,2,,,,0.62,4
Pouteria glomerata,species,Angiosperm,tree,broadleaved,8168.61,10,35.28,22,79.29,23,24.764,2650,811.388,12,0.634,30,,,,0.634,6
Pouteria gomphiifolia,species,Angiosperm,tree,broadleaved,3019,2,19.184,9,106.721,9,20,1,,,0.606,9,,,,0.606,5
Pouteria gongrijpii,species,Angiosperm,tree,broadleaved,6777.66,103,23.34,93,160.514,105,25,93,,,0.766,79,,,,0.766,5
Pouteria gracilis,species,Angiosperm,tree,broadleaved,1528.93,4,16.429,2,79.421,2,20,1,,,,,,,,,4
Pouteria guianensis,species,Angiosperm,tree,broadleaved,10190.72,85,25.991,53,95.42,94,38.879,47,2751.705,15,0.871,51,,,,0.871,6
Pouteria hispida,species,Angiosperm,tree,broadleaved,6357.65,55,16.368,25,66.313,52,36,15,,,0.823,15,,,,0.823,5
Pouteria jariensis,species,Angiosperm,tree,broadleaved,5020.11,31,23.665,12,100.158,30,17.751,10,,,0.708,10,,,,0.708,5
Pouteria juruana,species,Angiosperm,tree,broadleaved,2050.23,3,,,,,10,1,,,,,,,,,2
Pouteria krukovii,species,Angiosperm,tree,broadleaved,18713.01,3,18.576,2,110.731,2,,,,,,,,,,,3
Pouteria laevigata,species,Angiosperm,tree,broadleaved,3258.74,49,32.605,12,52.641,48,30.34,14,6000,6,0.677,10,,,,0.677,6
Pouteria lucumifolia,species,Angiosperm,tree,broadleaved,2625.87,3,,,,,30,1,,,,,,,,,2
Pouteria macrocarpa,species,Angiosperm,tree,broadleaved,20069.28,8,20.869,2,169.958,8,15,2,,,0.676,8,,,,0.676,5
Pouteria macrophylla,species,Angiosperm,tree,broadleaved,7461.49,37,20.106,40,78.949,55,29.363,10,9150,6,0.765,16,,,,0.765,6
Pouteria malaccensis,species,Angiosperm,tree,broadleaved,11285.52,9,18.832,3,173.101,4,23.425,7,,,0.658,8,,,,0.658,5
Pouteria manaosensis,species,Angiosperm,tree,broadleaved,8156.7,3,,,,,25,1,,,0.64,5,,,,0.64,3
Pouteria maxima,species,Angiosperm,tree,,7460.55,8,11.121,2,212.19,8,39,2,,,0.514,2,,,,0.514,5
Pouteria melanopoda,species,Angiosperm,tree,broadleaved,11056.85,17,19.461,10,138.074,16,26.117,8,,,0.964,14,,,,0.964,5
Pouteria minima,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.75,2,,,,0.75,2
Pouteria multiflora,species,Angiosperm,tree,broadleaved,11073.55,5,35.537,2,42.925,2,36,1,,,0.752,9,,,,0.752,5
Pouteria nemorosa,species,Angiosperm,tree,broadleaved,4401.37,2,17,,59.761,7,35.55,1,,,0.526,3,,,,0.526,5
Pouteria nudipetala,species,Angiosperm,tree,,15030.42,3,17.919,2,39.372,2,,,,,,,,,,,3
Pouteria oblanceolata,species,Angiosperm,tree,broadleaved,55000,1,,,,,,,,,0.79,2,,,,0.79,2
Pouteria opposita,species,Angiosperm,tree,,55000,1,,,,,,,,,,,,,,,1
Pouteria oppositifolia,species,Angiosperm,tree,broadleaved,5100,1,,,,,,,,,0.65,8,,,,0.65,2
Pouteria pariry,species,Angiosperm,tree,broadleaved,10480.65,3,,,,,30,1,,,,,,,,,2
Pouteria peruviensis,species,Angiosperm,tree,,3000,1,,,,,,,,,,,,,,,1
Pouteria petiolata,species,Angiosperm,tree,broadleaved,15861.47,11,22.253,2,82.863,8,15,3,,,0.732,2,,,,0.732,5
Pouteria pierrei,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.436,6,,,,0.436,1
Pouteria platyphylla,species,Angiosperm,tree,broadleaved,6859.9,5,21.82,2,60.875,2,18,1,,,,,,,,,4
Pouteria procera,species,Angiosperm,tree,broadleaved,2050.23,5,19.779,2,72.854,2,45,1,,,,,,,,,4
Pouteria pubescens,species,Angiosperm,tree,broadleaved,4894.36,3,,,,,20,1,,,,,,,,,2
Pouteria putamen-ovi,species,Angiosperm,tree,,1692.04,3,16.604,2,201.467,2,28,2,,,0.74,2,,,,0.74,5
Pouteria ramiflora,species,Angiosperm,tree,broadleaved,,,12.344,3,,,,,,,,,,,,,1
Pouteria reticulata,species,Angiosperm,tree,broadleaved,5956.33,51,25.201,13,69.478,88,26.405,10,581.82,1,0.702,19,,,,0.702,6
Pouteria retinervis,species,Angiosperm,tree,broadleaved,10395.49,5,18.2,5,142.45,7,25,7,,,0.73,7,,,,0.73,5
Pouteria rhynchocarpa,species,Angiosperm,tree,broadleaved,1701.65,4,10.69,3,91.743,6,8,3,,,,,,,,,4
Pouteria rostrata,species,Angiosperm,tree,broadleaved,13672.72,3,18.66,5,147.275,5,20,3,,,0.74,3,,,,0.74,5
Pouteria sapota,species,Angiosperm,tree,broadleaved,,,,,,,30,1,17340.003,7,0.839,4,,,,0.839,3
Pouteria silvestris,species,Angiosperm,tree,broadleaved,48774.4,2,,,89.309,1,,,,,,,,,,,2
Pouteria simulans,species,Angiosperm,tree,broadleaved,7626.96,3,,,,,25,1,,,,,,,,,2
Pouteria speciosa,species,Angiosperm,tree,broadleaved,,,,,,,,,107769.91,15,0.605,4,,,,0.605,2
Pouteria stipitata,species,Angiosperm,tree,broadleaved,2421.51,31,35.37,2,69.728,63,24.404,2,1186.78,1,,,,,,,5
Pouteria superba,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.459,4,,,,0.459,1
Pouteria surumuensis,species,Angiosperm,tree,broadleaved,,,14.8,1,,,,,,,,,,,,,1
Pouteria tarapotensis,species,Angiosperm,tree,broadleaved,5090.93,3,,,,,,,,,,,,,,,1
Pouteria torta,species,Angiosperm,tree,broadleaved,22687.05,69,20.053,38,86.543,74,33.869,34,,,0.699,43,,,,0.699,5
Pouteria trigonosperma,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.861,4,,,,0.861,1
Pouteria trilocularis,species,Angiosperm,tree,broadleaved,14301.12,5,14.22,5,151.437,8,35,7,,,0.634,6,,,,0.634,5
Pouteria venosa,species,Angiosperm,tree,broadleaved,4318.56,3,20.279,20,53.682,13,27.5,5,,,0.844,7,,,,0.844,5
Pouteria vernicosa,species,Angiosperm,tree,broadleaved,8756.17,3,18.236,2,81.884,2,,,,,0.73,2,,,,0.73,4
Pouteria virescens,species,Angiosperm,tree,broadleaved,9500,1,17.3,1,,,,,,,,,,,,,2
Pradosia atroviolacea,species,Angiosperm,tree,broadleaved,5291.64,5,13.829,2,76.613,2,40,1,,,,,,,,,4
Pradosia cochlearia,species,Angiosperm,tree,broadleaved,1410.14,23,13.089,22,145.601,22,25.669,22,2000,10,0.73,12,,,,0.73,6
Pradosia cuatrecasasii,species,Angiosperm,tree,,,,,,,,,,1138.059,1,,,,,,,1
Pradosia ptychandra,species,Angiosperm,tree,broadleaved,4319.54,56,20.21,38,89.995,56,18.332,34,,,0.645,30,,,,0.645,5
Pradosia schomburgkiana,species,Angiosperm,tree,broadleaved,6259.5,1,,,,,,,,,0.744,8,,,,0.744,2
Pradosia surinamensis,species,Angiosperm,tree,broadleaved,,,15.2,1,,,,,,,0.808,4,,,,0.808,2
Prainea cuspidata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.79,2,,,,0.79,1
Prainea limpato,species,Angiosperm,tree,broadleaved,3019,1,,,,,30,1,,,0.68,4,,,,0.68,3
Prainea papuana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.454,4,,,,0.454,1
Premna angolensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.66,6,,,,0.66,1
