Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Albizia lebbeck,species,Angiosperm,tree,broadleaved,275,8,32.733,,,,6.562,10,119.805,30,0.647,12,,,,0.584,5
Albizia lebbekoides,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.559,2,,,,0.55,1
Albizia lucidior,species,Angiosperm,tree,broadleaved,,,,,,,30,1,,,0.75,2,,,,0.75,2
Albizia mahalao,species,Angiosperm,tree,broadleaved,,,,,,,,,71.6,6,,,,,,,1
Albizia masikororum,species,Angiosperm,tree,broadleaved,,,,,,,,,335.77,6,,,,,,,1
Albizia mollis,species,Angiosperm,tree,broadleaved,,,,,,,20,1,38.21,6,,,,,,,2
Albizia niopoides,species,Angiosperm,tree,broadleaved,12.82,4,28.64,5,110.619,5,40,4,24.495,10,0.59,14,,,,0.59,6
Albizia odorata,species,Angiosperm,tree,broadleaved,,,,,,,,,228.06,6,,,,,,,1
Albizia odoratissima,species,Angiosperm,tree,broadleaved,,,25.5,4,,,20,1,71.143,13,0.642,14,,,,0.642,4
Albizia pedicellaris,species,Angiosperm,tree,broadleaved,79,7,36.558,6,113.656,6,24.162,6,,,0.491,18,,,,0.491,5
Albizia pedicellata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.309,6,,,,0.309,1
Albizia petersiana,species,Angiosperm,tree,broadleaved,,,,,,,5.013,3,125,7,,,,,,,2
Albizia pistaciifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.45,2,,,,0.45,1
Albizia polyphylla,species,Angiosperm,tree,broadleaved,,,,,,,,,48.38,6,,,,,,,1
Albizia procera,species,Angiosperm,tree,broadleaved,,,28.6,4,,,25,1,41.497,7,0.782,20,,,,0.782,4
Albizia retusa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.46,2,,,,0.46,1
Albizia saman,species,Angiosperm,tree,broadleaved,675,1,31.169,,149.11,,34.4,3,176.599,15,0.512,18,,,,0.499,6
Albizia saponaria,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.57,2,,,,0.57,1
Albizia schimperiana,species,Angiosperm,tree,broadleaved,,,23,1,,,15.11,3,110.521,8,0.52,2,,,,0.52,4
Albizia splendens,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.54,2,,,,0.54,1
Albizia tanganyicensis,species,Angiosperm,tree,broadleaved,,,,,,,8.143,3,139,7,0.26,2,,,,0.26,3
Albizia tomentella,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.59,2,,,,0.59,1
Albizia tomentosa,species,Angiosperm,tree,broadleaved,,,,,,,25,1,29.774,,0.64,1,,,,0.64,3
Albizia tulearensis,species,Angiosperm,tree,broadleaved,,,,,,,,,109.72,6,,,,,,,1
Albizia versicolor,species,Angiosperm,tree,broadleaved,,,,,,,8.572,4,117.83,6,0.608,8,,,,0.608,3
Albizia zimmermannii,species,Angiosperm,tree,broadleaved,,,,,,,9.487,2,,,0.8,2,,,,0.8,2
Albizia zygia,species,Angiosperm,tree,broadleaved,675,1,,,,,18,1,,,0.489,12,,,,0.489,3
Albizzia odoratissima,species,Angiosperm,tree,broadleaved,,,25.5,1,,,,,,,,,,,,,1
Albizzia procera,species,Angiosperm,tree,broadleaved,,,28.6,1,,,,,,,,,,,,,1
Alchornea aquifolia,species,Angiosperm,tree,broadleaved,675,1,,,,,18,1,20.504,11,,,,,,,3
Alchornea cordifolia,species,Angiosperm,tree,broadleaved,10507.46,7,,,,,3.286,7,53,6,,,,,,,3
Alchornea costaricensis,species,Angiosperm,tree,broadleaved,3263.47,26,22.297,4,62.664,50,25.51,2,35.243,23,0.333,7,,,,0.333,6
Alchornea discolor,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Alchornea glandulosa,species,Angiosperm,tree,broadleaved,7416.61,4,33.526,9,78.462,9,8.5,1,,,0.382,19,,,,0.382,5
Alchornea glandulosa subsp. iricurana,variety or subspecies,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.45,2,,,,0.45,2
Alchornea grandis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Alchornea humbertii,species,Angiosperm,tree,broadleaved,,,,,,,,,19.31,6,,,,,,,1
Alchornea latifolia,species,Angiosperm,tree,broadleaved,7668.14,7,16.325,7,77.473,9,15.779,6,34,7,0.429,13,,,,0.429,6
Alchornea perrieri,species,Angiosperm,tree,broadleaved,,,,,,,,,26.06,6,,,,,,,1
Alchornea schomburgkii,species,Angiosperm,tree,broadleaved,3000,1,21.3,1,,,,,,,0.46,4,,,,0.46,3
Alchornea triplinervia,species,Angiosperm,tree,broadleaved,2227.21,10,21.128,9,102.1,12,12.533,6,,,0.445,15,,,,0.445,5
Alchorneopsis floribunda,species,Angiosperm,tree,broadleaved,4978.17,7,44.923,2,28.14,3,25,1,,,0.372,2,,,,0.372,5
Alchorneopsis portoricensis,species,Angiosperm,tree,broadleaved,,,26.3,1,,,,,,,0.45,2,,,,0.45,2
Aldina heterophylla,species,Angiosperm,tree,broadleaved,3019,2,19.1,1,116.493,18,,,,,0.74,6,,,,0.74,4
Aldina insignis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.71,2,,,,0.71,1
Aldina kunhardtiana,species,Angiosperm,tree,broadleaved,,,21.121,18,120.048,21,,,,,0.516,21,,,,0.516,3
Aldina latifolia,species,Angiosperm,tree,broadleaved,,,22.1,1,,,,,69355,7,0.74,4,,,,0.74,3
Alectryon coriaceus,species,Angiosperm,tree,broadleaved,,,,,124.224,2,,,,,,,,,,,1
Alectryon excelsus,species,Angiosperm,tree,broadleaved,977.91,3,,,68.083,2,9.487,3,199.479,16,,,,,,,4
Alectryon oleifolius,species,Angiosperm,tree,broadleaved,281.65,10,,,218.164,15,4.224,10,48.328,21,0.95,4,,,,0.95,5
Alectryon semicinereum,species,Angiosperm,tree,broadleaved,,,,,,,,,48.16,7,,,,,,,1
Alectryon tomentosum,species,Angiosperm,tree,broadleaved,,,,,,,,,36.71,11,,,,,,,1
Aleurites cordata,species,Angiosperm,tree,broadleaved,,,,,,,9.685,4,,,,,,,,,1
Aleurites moluccanus,species,Angiosperm,tree,broadleaved,18166.75,6,,,113.122,10,15.24,17,6277.299,36,0.367,21,,,,0.367,5
Alexa grandiflora,species,Angiosperm,tree,broadleaved,,,19.841,2,,,,,,,0.626,18,,,,0.626,2
Alexa imperatricis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.481,14,,,,0.481,1
Alexa wachenheimii,species,Angiosperm,tree,broadleaved,,,32.774,8,79.918,10,29.424,10,,,0.49,12,,,,0.49,4
Alibertia claviflora,species,Angiosperm,tree,broadleaved,38411.58,3,21.939,2,64.677,2,,,,,,,,,,,3
Alibertia curviflora,species,Angiosperm,tree,broadleaved,,,,,,,,,128.19,11,0.73,2,,,,0.73,2
Alibertia dwyeri,species,Angiosperm,tree,broadleaved,15068.82,5,17.997,1,69.571,9,,,,,,,,,,,3
Alibertia edulis,species,Angiosperm,tree,broadleaved,2855.08,30,33.77,1,62.428,64,11.268,2,14.223,9,0.777,4,,,,0.777,6
Alibertia patinoi,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,2,,,,0.52,1
Alibertia pilosa,species,Angiosperm,tree,broadleaved,4064.33,2,16.421,2,63.765,2,,,,,,,,,,,3
Allagoptera arenaria,species,Angiosperm,tree,broadleaved,,,11.281,2,,,,,,,,,,,,,1
Allamanda blanchetii,species,Angiosperm,tree,broadleaved,,,16.4,1,,,,,,,,,,,,,1
Allanblackia floribunda,species,Angiosperm,tree,broadleaved,9050,1,,,,,25,1,,,0.678,12,,,,0.678,3
Allanblackia parviflora,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.54,2,,,,0.54,1
Allanblackia staneriana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.58,2,,,,0.58,1
Allanblackia stuhlmannii,species,Angiosperm,tree,broadleaved,,,,,,,,,5000,8,0.612,8,,,,0.612,2
Allantoma decandra,species,Angiosperm,tree,broadleaved,9500,1,,,,,40,1,,,0.556,7,,,,0.556,3
Allantoma integrifolia,species,Angiosperm,tree,broadleaved,,,13.1,1,,,,,,,0.46,8,,,,0.46,2
Allantoma lineata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.542,4,,,,0.542,1
Allantoma pluriflora,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.56,2,,,,0.56,2
Allantospermum borneense,species,Angiosperm,tree,broadleaved,1610.46,3,15.736,3,95.161,3,,,,,,,,,,,3
Allocasuarina corniculata,species,Angiosperm,tree,needleleaved,,,,,,,,,1.25,6,0.83,2,,,,0.83,2
Allocasuarina crassa,species,Angiosperm,tree,needleleaved,,,,,,,,,4.53,11,,,,,,,1
Allocasuarina decaisneana,species,Angiosperm,tree,needleleaved,,,9.999,3,,,,,13.476,9,1.04,2,,,,1.04,3
Allocasuarina decussata,species,Angiosperm,tree,needleleaved,7,1,,,,,30,1,4.11,6,,,,,,,3
Allocasuarina dielsiana,species,Angiosperm,tree,needleleaved,,,,,,,,,,,0.89,2,,,,0.89,1
Allocasuarina emuina,species,Angiosperm,tree,needleleaved,,,,,,,,,2.6,6,,,,,,,1
Allocasuarina fraseriana,species,Angiosperm,tree,needleleaved,,,,,,,,,5.58,7,0.62,2,,,,0.62,2
Allocasuarina huegeliana,species,Angiosperm,tree,needleleaved,,,,,,,,,2.021,7,0.76,2,,,,0.76,2
Allocasuarina inophloia,species,Angiosperm,tree,needleleaved,,,,,,,,,3.147,11,0.807,8,,,,0.807,2
Allocasuarina littoralis,species,Angiosperm,tree,needleleaved,48.95,10,,,371.38,12,4.681,18,2.598,28,0.629,6,,,,0.629,5
Allocasuarina luehmannii,species,Angiosperm,tree,needleleaved,,,,,,,,,1.255,16,0.96,4,,,,0.96,2
Allocasuarina torulosa,species,Angiosperm,tree,needleleaved,11.71,15,,,162.922,9,6.325,15,3.54,6,0.81,6,,,,0.81,5
Allocasuarina verticillata,species,Angiosperm,tree,needleleaved,,,,,,,,,3.76,17,,,,,,,1
Allophylus amazonicus,species,Angiosperm,tree,broadleaved,6136.09,4,19.85,2,56.964,2,10,1,78.63,11,0.55,3,,,,0.55,6
Allophylus angustatus,species,Angiosperm,tree,,6553.33,2,,,101.984,2,13,2,,,0.657,2,,,,0.657,4
Allophylus camptostachys,species,Angiosperm,tree,broadleaved,1515.43,3,11.293,6,107.354,8,15,3,120,7,0.77,1,,,,0.77,6
Allophylus chirindensis,species,Angiosperm,tree,broadleaved,,,,,,,15,2,102.2,6,0.56,2,,,,0.56,3
Allophylus cobbe,species,Angiosperm,tree,broadleaved,5381.53,11,15.39,1,89.537,1,24.073,11,365.816,8,0.528,12,,,,0.528,6
Allophylus divaricatus,species,Angiosperm,tree,broadleaved,4894.36,4,23.367,2,59.587,2,15,1,,,,,,,,,4
Allophylus edulis,species,Angiosperm,tree,broadleaved,,,,,,,5.13,34,,,0.643,14,,,,0.643,2
Allophylus floribundus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.39,2,,,,0.39,1
Allophylus glabratus,species,Angiosperm,tree,broadleaved,,,,,,,,,125.65,11,,,,,,,1
Allophylus peruvianus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.39,2,,,,0.39,1
Allophylus pilosus,species,Angiosperm,tree,broadleaved,18364.5,4,35.391,2,,,10,1,,,,,,,,,3
Allophylus psilospermus,species,Angiosperm,tree,broadleaved,3575.73,29,34.39,2,39.492,58,18.963,2,48.59,12,0.535,2,,,,0.535,6
Allophylus punctatus,species,Angiosperm,tree,broadleaved,6740.76,3,26.394,2,59.603,2,,,,,,,,,,,3
Allophylus racemosus,species,Angiosperm,tree,broadleaved,,,27.754,1,88.793,1,,,18.55,7,0.548,1,,,,0.545,4
Allophylus scrobiculatus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.478,5,,,,0.478,1
Allophylus varians,species,Angiosperm,tree,broadleaved,1830,2,22.7,3,88.028,4,,,,,,,,,,,3
Alloxylon brachycarpum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.395,4,,,,0.395,1
Alloxylon flammeum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.47,4,,,,0.47,1
Alloxylon wickhamii,species,Angiosperm,tree,broadleaved,,,,,130.89,2,,,,,0.45,2,,,,0.45,2
Alniphyllum fortunei,species,Angiosperm,tree,broadleaved,,,24.4,1,,,20,1,,,0.38,6,,,,0.38,3
Alnus acuminata,species,Angiosperm,tree,broadleaved,700,1,,,,,,,,,0.382,6,,,,0.382,2
Alnus cordata,species,Angiosperm,tree,broadleaved,5482.87,10,27.095,3,44.121,10,18.841,13,3.506,12,0.391,1,,,,0.391,6
Alnus cremastogyne,species,Angiosperm,tree,broadleaved,,,,,,,40,2,,,,,,,,,1
Alnus ferdinandi-coburgii,species,Angiosperm,tree,,,,,,,,20,2,,,,,,,,,1
Alnus firma,species,Angiosperm,tree,broadleaved,,,,,,,,,0.7,7,,,,,,,1
Alnus formosana,species,Angiosperm,tree,broadleaved,,,,,,,20,2,,,0.5,1,,,,0.5,2
Alnus glutinosa,species,Angiosperm,tree,broadleaved,3070.29,83,30.938,61,68.113,148,17.798,87,1.601,57,0.459,96,,,,0.459,6
Alnus henryi,species,Angiosperm,tree,broadleaved,,,,,,,,,0.81,6,,,,,,,1
Alnus hirsuta,species,Angiosperm,tree,broadleaved,,,27.277,2,78.555,7,16.124,5,0.511,37,0.42,,,,,0.42,5
Alnus incana subsp. tenuifolia,variety or subspecies,Angiosperm,tree,broadleaved,,,21.9,1,,,,,0.608,11,,,,,,,2
Alnus japonica,species,Angiosperm,tree,broadleaved,,,,,81.037,6,30,6,0.75,7,,,,,,,3
Alnus jorullensis,species,Angiosperm,tree,broadleaved,,,,,,,,,0.51,7,0.413,6,,,,0.413,2
Alnus lanata,species,Angiosperm,tree,,,,,,,,26,2,,,,,,,,,1
Alnus mandshurica,species,Angiosperm,tree,broadleaved,1202.41,,,,90.257,,10,2,,,,,,,,,3
Alnus maximowiczii,species,Angiosperm,tree,broadleaved,,,22.494,4,55.048,8,,,0.575,7,,,,,,,3
Alnus nepalensis,species,Angiosperm,tree,broadleaved,,,38.35,4,,,20,2,2.575,8,0.406,7,,,,0.406,4
Alnus nitida,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.37,2,,,,0.37,1
Alnus oblongifolia,species,Angiosperm,tree,broadleaved,,,,,,,10.058,1,2.06,7,,,,,,,2
Alnus rhombifolia,species,Angiosperm,tree,broadleaved,3646.68,6,27.508,6,58.045,9,23.726,19,0.559,22,0.52,5,,,,0.52,6
Alnus rubra,species,Angiosperm,tree,broadleaved,,,23.734,13,65.007,,30.983,25,0.853,25,0.43,2,,,,0.43,5
Alnus trabeculosa,species,Angiosperm,tree,broadleaved,,,,,,,20,2,,,0.44,5,,,,0.44,2
Alphitonia excelsa,species,Angiosperm,tree,broadleaved,2311.11,11,,,77.054,7,26.458,15,21.043,15,0.552,9,,,,0.552,5
Alphitonia petriei,species,Angiosperm,tree,broadleaved,3019,4,,,149.031,1,21.012,4,,,0.44,2,,,,0.44,4
Alphitonia philippinensis,species,Angiosperm,tree,broadleaved,,,,,,,18,1,18,11,,,,,,,2
Alphitonia whitei,species,Angiosperm,tree,broadleaved,5227.04,2,,,,,23.238,2,96,7,0.602,4,,,,0.602,4
Alphitonia zizyphoides,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.447,4,,,,0.447,1
Alphonsea elliptica,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.85,2,,,,0.85,1
Alphonsea javanica,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.54,2,,,,0.54,1
Alphonsea maingayi,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.79,2,,,,0.79,1
Alphonsea mollis,species,Angiosperm,tree,broadleaved,,,,,,,20,1,,,,,,,,,1
Alphonsea monogyna,species,Angiosperm,tree,broadleaved,,,16.86,4,,,12,1,,,,,,,,,2
Alseis blackiana,species,Angiosperm,tree,broadleaved,8874.62,37,31.978,4,50.152,88,31.106,15,0.128,40,0.547,9,,,,0.547,6
Alseis floribunda,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.85,2,,,,0.85,1
Alseis labatioides,species,Angiosperm,tree,broadleaved,9500,1,33.77,3,46.361,3,,,,,0.44,3,,,,0.44,4
Alseis lugonis,species,Angiosperm,tree,,22938.91,5,41.402,4,35.863,4,,,,,,,,,,,3
Alseis microcarpa,species,Angiosperm,tree,broadleaved,9074.33,3,,,,,,,,,,,,,,,1
Alseis peruviana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Alseis yucatanensis,species,Angiosperm,tree,broadleaved,5227.04,2,,,,,8,2,,,0.6,4,,,,0.6,3
Alseodaphne bancana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.59,2,,,,0.59,1
Alseodaphne elongata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.53,2,,,,0.53,1
Alseodaphne hainanensis,species,Angiosperm,tree,broadleaved,,,13.035,9,,,26,1,,,0.593,6,,,,0.593,3
Alseodaphne insignis,species,Angiosperm,tree,broadleaved,,,,,149.355,2,,,,,0.71,2,,,,0.71,2
Alseodaphne longipes,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.5,2,,,,0.5,1
Alseodaphne malabonga,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.4,2,,,,0.4,1
Alseodaphne nigrescens,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.57,2,,,,0.57,1
Alseodaphne oblanceolata,species,Angiosperm,tree,broadleaved,15262.3,2,,,,,23.664,2,,,0.43,2,,,,0.43,3
Alseodaphne peduncularis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.612,4,,,,0.612,1
Alseodaphne pendulifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.57,2,,,,0.57,1
Alseodaphne petiolaris,species,Angiosperm,tree,,15645,4,12.6,8,109.496,4,20,1,,,,,,,,,4
Alseodaphne semecarpifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Alseodaphne umbelliflora,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.42,4,,,,0.42,1
Alstonia actinophylla,species,Angiosperm,tree,broadleaved,,,22.24,1,,,,,4,4,0.337,12,,,,0.337,3
Alstonia angustifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.606,6,,,,0.606,1
Alstonia angustiloba,species,Angiosperm,tree,broadleaved,,,,,,,,,1.8,7,0.403,6,,,,0.403,2
Alstonia boonei,species,Angiosperm,tree,broadleaved,3019,1,,,,,3.5,1,,,0.312,10,,,,0.312,3
Alstonia congensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.32,16,,,,0.32,1
Alstonia constricta,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Alstonia macrophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.611,4,,,,0.611,1
Alstonia muelleriana,species,Angiosperm,tree,broadleaved,4353.03,3,,,,,24.147,3,2.9,7,0.68,8,,,,0.68,4
Alstonia pneumatophora,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.294,4,,,,0.294,1
Alstonia rostrata,species,Angiosperm,tree,broadleaved,,,,,,,30,,,,0.32,2,,,,0.32,2
Alstonia scholaris,species,Angiosperm,tree,broadleaved,6510.48,10,22.3,,107.066,1,16.295,13,5.895,12,0.368,22,,,,0.368,6
Alstonia spatulata,species,Angiosperm,tree,broadleaved,3864.92,1,11.61,1,97.847,1,,,,,0.34,2,,,,0.34,4
Althoffia sp,genus,Angiosperm,tree,broadleaved,3019,1,,,,,4,1,,,,,,,,,2
Altingia chinensis,species,Angiosperm,tree,broadleaved,,,,,,,20,1,10,9,0.62,2,,,,0.62,3
Altingia excelsa,species,Angiosperm,tree,broadleaved,9050,1,,,,,6,2,,,0.65,4,,,,0.65,3
Altingia gracilipes,species,Angiosperm,tree,broadleaved,,,,,,,20,1,,,,,,,,,1
Altingia obovata,species,Angiosperm,tree,broadleaved,,,9.595,9,,,30,1,,,0.697,8,,,,0.697,3
Altingia yunnanensis,species,Angiosperm,tree,broadleaved,,,,,,,25,1,,,0.635,4,,,,0.635,2
Amaioua corymbosa,species,Angiosperm,tree,broadleaved,8545.77,42,17.931,1,67.99,60,15.147,7,9.74,1,0.675,6,,,,0.675,6
Amaioua guianensis,species,Angiosperm,tree,broadleaved,7636.93,7,22.048,8,80.203,13,14.66,15,,,0.649,14,,,,0.649,5
Amaioua intermedia,species,Angiosperm,tree,broadleaved,5229.91,1,16.38,1,105.374,1,7,1,,,0.64,2,,,,0.64,5
Amanoa glaucophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.8,2,,,,0.8,1
Amanoa guianensis,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.801,9,,,,0.801,2
Amanoa oblongifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,30.533,4,0.83,2,,,,0.83,2
Ambavia gerrardii,species,Angiosperm,tree,broadleaved,,,,,,,,,699.35,2,,,,,,,1
Ambelania acida,species,Angiosperm,tree,broadleaved,8162.31,67,13.508,20,107.606,66,12.957,48,,,0.544,44,,,,0.544,5
Ambelania occidentalis,species,Angiosperm,tree,broadleaved,9500,1,21.1,3,115.207,3,10,3,,,0.55,3,,,,0.55,5
Amblygonocarpus andongensis,species,Angiosperm,tree,broadleaved,,,11.8,1,,,13.104,3,500,7,0.869,6,,,,0.869,4
Amburana cearensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.549,25,,,,0.549,1
Amelanchier asiatica,species,Angiosperm,tree,broadleaved,,,,,,,12,1,,,,,,,,,1
Amelanchier grandiflora,species,Angiosperm,tree,broadleaved,,,,,,,9,1,3.89,1,,,,,,,2
Amelanchier sinica,species,Angiosperm,tree,broadleaved,,,,,,,6.325,5,,,,,,,,,1
Amentotaxus argotaenia,species,Gymnosperm,tree,broadleaved,,,,,,,4.5,4,,,0.65,8,,,,0.65,2
Amentotaxus formosana,species,Gymnosperm,tree,broadleaved,,,,,,,9,4,,,,,,,,,1
Amesiodendron chinense,species,Angiosperm,tree,broadleaved,,,14.6,5,,,9,1,,,0.845,4,,,,0.845,3
Amherstia nobilis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.639,6,,,,0.639,1
Amomyrtella guilii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.61,2,,,,0.61,1
Amomyrtus luma,species,Angiosperm,tree,broadleaved,,,10.1,11,141.044,9,18.071,7,30.041,13,1,1,,,,,4
Amomyrtus meli,species,Angiosperm,tree,broadleaved,,,,,,,20,5,40,1,1,1,,,,1,3
Amoora rohituka,species,Angiosperm,tree,broadleaved,,,18.1,5,34.702,4,,,,,,,,,,,2
Ampelocera edentula,species,Angiosperm,tree,broadleaved,3801.21,5,25.167,2,80.362,2,33,1,,,0.68,5,,,,0.68,5
Ampelocera hottlei,species,Angiosperm,tree,broadleaved,,,,,,,30,1,670,7,0.592,5,,,,0.592,3
Ampelocera longissima,species,Angiosperm,tree,broadleaved,4476.42,5,29.293,2,45.683,2,20,1,,,,,,,,,4
Ampelocera macrocarpa,species,Angiosperm,tree,broadleaved,10355.6,2,,,74.356,1,,,,,,,,,,,2
Ampelocera ruizii,species,Angiosperm,tree,broadleaved,3935.92,5,33,,55.509,10,31.421,2,,,0.697,6,,,,0.697,5
Ampelocera verrucosa,species,Angiosperm,tree,broadleaved,3000,1,,,,,,,197,11,,,,,,,2
Amphilophium granulosum,species,Angiosperm,tree,broadleaved,,,14.9,1,,,,,,,,,,,,,1
Amphimas ferrugineus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.67,8,,,,0.67,1
Amphimas pterocarpoides,species,Angiosperm,tree,broadleaved,,,23.8,2,83.333,2,36,1,,,0.605,14,,,,0.605,4
Amphipterygium adstringens,species,Angiosperm,tree,broadleaved,,,,,,,,,92.73,6,,,,,,,1
Amphirrhox longifolia,species,Angiosperm,tree,broadleaved,3055.51,13,24.917,11,59.094,12,8.972,12,,,0.71,12,,,,0.71,5
Amphitecna kennedyi,species,Angiosperm,tree,broadleaved,13066,2,,,59.697,1,,,,,,,,,,,2
Amphitecna latifolia,species,Angiosperm,tree,broadleaved,,,,,82.265,2,6.096,1,,,,,,,,,2
Amphitecna tuxtlensis,species,Angiosperm,tree,broadleaved,6200.35,3,14.287,4,85.47,6,10,3,,,0.46,1,,,,0.46,5
Amyris balsamifera,species,Angiosperm,tree,broadleaved,,,,,,,10.058,1,,,0.9,4,,,,0.9,2
Amyris elemifera,species,Angiosperm,tree,broadleaved,,,,,,,4.87,3,63.16,7,0.947,6,,,,0.947,3
Amyris macrocarpa,species,Angiosperm,tree,broadleaved,2854.12,4,21.05,2,67.367,2,,,,,,,,,,,3
Amyris simplicifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.9,2,,,,0.9,1
Amyxa pluricornis,species,Angiosperm,tree,broadleaved,,,,,98.039,1,,,,,0.63,4,,,,0.63,2
Anacardium excelsum,species,Angiosperm,tree,broadleaved,12848.51,29,16.557,6,77.142,122,37.378,10,2306.416,20,0.432,29,,,,0.432,6
Anacardium giganteum,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,3102.638,17,0.485,16,,,,0.485,3
Anacardium humile,species,Angiosperm,tree,broadleaved,,,15.423,7,,,,,,,,,,,,,1
Anacardium occidentale,species,Angiosperm,tree,broadleaved,,,13.682,6,120.482,5,10,3,4058.412,8,0.453,17,,,,0.453,5
Anacardium spruceanum,species,Angiosperm,tree,broadleaved,,,26.236,8,65.931,14,17.275,14,,,0.457,32,,,,0.457,4
Anacardium tenuifolium,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.43,2,,,,0.43,1
Anadenanthera colubrina,species,Angiosperm,tree,broadleaved,,,,,,,25,,187.567,13,0.938,18,,,,0.938,3
Anadenanthera colubrina var. cebil,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,,,1,,,,,1,1
Anadenanthera peregrina,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.873,6,,,,0.873,1
Anadenanthera peregrina var. falcata,variety or subspecies,Angiosperm,tree,broadleaved,,,29.15,1,,,,,,,,,,,,,1
Anaxagorea brevipes,species,Angiosperm,tree,broadleaved,13286.57,5,20.323,2,69.056,2,10,1,,,,,,,,,4
Anaxagorea crassipetala,species,Angiosperm,tree,broadleaved,16237,2,,,47.299,1,,,,,0.48,3,,,,0.48,3
Anaxagorea dolichocarpa,species,Angiosperm,tree,broadleaved,21662.4,3,,,,,15,1,,,0.56,3,,,,0.56,3
Anaxagorea phaeocarpa,species,Angiosperm,tree,broadleaved,12527.6,3,,,60.985,1,,,,,,,,,,,2
Andira anthelmia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.768,4,,,,0.768,1
Andira coriacea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.733,12,,,,0.733,1
Andira fraxinifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.92,2,,,,0.92,1
Andira humilis,species,Angiosperm,tree,broadleaved,,,22.714,8,,,,,,,,,,,,,1
Andira inermis,species,Angiosperm,tree,broadleaved,1783.46,42,31.448,8,51.879,82,24.377,8,1346.463,9,0.641,31,,,,0.641,6
